hryear4,pesex,peernlab,peerncov,peage,ptdtrace,pehspnon,peeduca,prcitshp,gestfips,pworwgt,peio1ocd
2009,2,2,2,44,2,2,43,1,28,86032640,3130
2009,2,2,2,53,1,2,43,1,28,81925266,3130
2009,2,2,2,58,1,2,43,1,28,83537102,3130
2009,2,1,-1,59,2,2,42,1,29,116588540,3130
2009,2,2,2,54,1,2,42,1,29,102817415,3130
2009,2,2,2,41,1,2,42,1,29,83233224,3130
2009,2,2,2,56,1,2,39,1,29,100790199,3130
2009,2,2,2,28,1,2,43,1,29,92721393,3130
2009,2,2,2,49,1,2,42,1,29,99765683,3130
2009,2,2,2,33,1,2,43,1,30,27727372,3130
2009,2,2,2,46,2,2,43,1,30,118357416,3130
2009,2,2,2,49,1,2,43,1,31,31634166,3130
2009,2,2,2,61,1,2,43,1,31,29615306,3130
2009,2,2,2,46,1,2,42,1,31,29720479,3130
2009,2,2,2,48,1,2,43,1,31,30561946,3130
2009,2,1,-1,50,1,2,44,1,32,50057729,3130
2009,2,2,2,49,1,2,39,1,32,48058436,3130
2009,2,2,2,56,5,2,42,4,32,48955998,3130
2009,2,2,2,36,1,2,42,1,33,19081496,3130
2009,2,2,2,33,2,2,43,4,33,26323867,3130
2009,2,2,2,57,1,2,39,1,33,16571951,3130
2009,2,2,2,54,1,2,43,1,33,16448403,3130
2009,2,2,1,58,1,2,41,1,33,16571951,3130
2009,2,1,-1,23,1,2,43,1,33,19224514,3130
2009,2,2,2,47,1,2,43,1,33,15727583,3130
2009,2,2,2,46,1,2,41,1,33,15727583,3130
2009,2,1,-1,53,1,2,43,1,33,16381871,3130
2009,2,2,2,65,1,2,42,1,33,16842548,3130
2009,2,1,-1,51,1,2,43,4,34,118586835,3130
2009,2,2,2,28,1,2,42,1,34,141541582,3130
2009,2,2,2,42,4,2,40,5,34,122521246,3130
2009,2,2,2,65,1,2,41,1,34,121921636,3130
2009,2,2,2,59,1,2,41,1,34,119477569,3130
2009,1,2,2,35,1,2,44,1,34,120195299,3130
2009,2,2,1,53,3,2,43,1,35,42294991,3130
2009,1,2,2,49,1,2,42,1,35,62467596,3130
2009,2,1,-1,70,1,2,44,1,36,145157158,3130
2009,2,2,2,26,4,2,43,1,36,117845015,3130
2009,2,2,2,26,4,2,43,1,36,117845015,3130
2009,2,2,1,57,2,2,43,5,36,131494022,3130
2009,2,1,-1,41,1,2,41,1,36,119385809,3130
2009,2,1,-1,35,1,2,42,1,36,129637850,3130
2009,2,2,2,33,1,2,43,1,36,116002527,3130
2009,2,2,2,51,1,2,39,1,36,110507015,3130
2009,2,2,2,34,1,2,44,1,36,116247794,3130
2009,2,2,2,41,1,2,43,1,36,119385809,3130
2009,2,1,-1,45,1,2,41,1,36,105869551,3130
2009,2,2,2,36,2,2,43,5,36,120796307,3130
2009,2,2,2,80,1,2,41,1,36,116659363,3130
2009,2,1,-1,62,1,2,41,1,36,106113111,3130
2009,2,1,-1,27,1,2,42,1,36,142523047,3130
2009,2,2,2,48,1,2,40,1,36,106489953,3130
2009,2,2,2,43,2,2,43,1,37,161066262,3130
2009,2,2,2,53,2,2,44,1,37,117827361,3130
2009,2,2,2,48,1,2,43,1,37,125952122,3130
2009,2,1,-1,47,1,2,43,1,37,128826354,3130
2009,2,2,2,28,1,2,43,1,37,169709770,3130
2009,2,2,2,45,1,2,41,1,37,128826354,3130
2009,2,2,2,29,1,2,43,1,38,13302412,3130
2009,2,2,2,42,1,2,42,1,38,11119384,3130
2009,2,2,2,31,4,2,43,5,38,10577673,3130
2009,2,2,2,24,1,2,42,1,38,13164528,3130
2009,2,2,2,53,1,2,43,1,38,16261442,3130
2009,2,2,2,26,1,2,41,1,38,13767020,3130
2009,2,1,-1,61,1,2,43,1,39,120895417,3130
2009,2,2,2,46,1,2,42,1,39,113169791,3130
2009,2,2,2,33,1,2,42,1,39,109503411,3130
2009,2,2,2,39,1,2,41,1,39,122116612,3130
2009,2,2,2,47,1,2,45,1,39,113169791,3130
2009,2,2,2,50,1,2,44,1,39,110559563,3130
2009,2,2,2,57,1,2,43,1,39,118763208,3130
2009,2,2,2,50,1,2,42,1,39,116636146,3130
